Average lookup times in: nanoseconds

map BST(unbalanced) BST(balanced)
158.18 152.42 76.74 
112.965 114.02 96.59 
125.97 127.933 107.183 
140.17 143.118 114.028 
209.898 150.69 116.044 
144.39 153.763 130.57 
149.544 159.879 125.461 
156.145 165.476 127.94 
161.817 174.852 137.972 
171.509 185.129 165.788 
222.691 330.734 178.646 
272.218 239.998 178.933 
274.131 238.594 198.252 
293.552 233.184 210.969 
487.537 478.593 237.202 
327.318 332.233 226.106 
270.042 255.172 195.055 
271.09 325.935 202.794 
285.636 290.474 214.621 
290.484 294.894 222.585 
369.912 295.105 270.16 
313.79 361.133 271.665 
489.697 416.796 286.891 
423.896 444.808 327.39 
429.024 444.538 303.374 
386.606 407.692 273.322 
531.171 429.827 302.261 
434.557 400.375 305.281 
370.11 431.028 261.779 
384.724 404.982 272.372 
376.297 362.114 308.616 
385.848 370.232 270.118 
413.535 373.244 285.13 
402.251 435.181 295.011 
411.074 423.769 299.882 
414.254 435.955 287.181 
412.315 420.335 304.303 
417.124 420.424 294.989 
422.643 412.289 306.826 
422.426 461.194 315.479 
439.187 479.672 310.975 
436.364 433.685 299.788 
490.259 437.273 313.208 
448.39 446.361 305.071 
445.024 425.323 335.373 
453.094 520.545 309.327 
524.419 434.944 330.779 
448.921 439.05 346.891 
462.128 491.56 327.251 
499.3 464.706 335.889 
474.638 529.976 336.18 
521.162 472.017 382.144 
472.059 521.759 343.128 
490.746 484.959 349.029 
508.075 472.043 363.902 
490.514 509.373 330.006 
510.317 557.89 333.147 
512.285 481.423 345.01 
511.012 497.352 362.859 
486.994 550.668 347.779 
490.606 502.777 346.621 
524.521 502.359 345.358 
529.622 533.849 407.349 
530.377 509.42 351.77 
530.477 515.048 360.68 
536.053 512.911 362.76 
531.401 518.474 385.354 
533.941 542.541 361.564 
556.367 549.497 351.036 
512.424 546.465 399.895 
550.107 529.27 383.987 
546.632 557.339 376.513 
524.224 556.346 392.016 
571.894 539.488 360.8 
533.62 586.295 377.119 
551.807 561.338 379.55 
551.171 591.107 371.74 
572.229 555.649 385.631 
539.368 550.032 420.138 
580.382 594.669 382.455 
595.317 598.246 375.526 
556.848 549.318 409.144 
542.409 553.881 402.771 
